文档业务编码,公司,业务模块,开始档期,结束档期,归档地,产生地,文档名称,文档生成日期,归档责任人,文档责任部门,载体类型,系统来源,密级,描述,文档组织,是否可见,条码模块,保管状态,保管年限,国家,代表处,地区部,公司标签,其他相关编号,开立日期,到期日,保函失效日期,保函台账状态,银行名称,币种,金额,保函电子流编号,保函编号
FUND-DEMO-2026-001,CP-DEMO-001,FIN_FUND_PAYMENT_PAY,2026-04,2026-04,SHANGHAI,SHANGHAI,资金文档-付款申请-演示-001,2026-04-01 10:00:00,admin,,ELECTRONIC,PORTAL,INTERNAL,批量导入演示第1行,DO-DEMO-SH,是,,UNARCHIVED,7,,,,,REF-2026-001,2026-04-01,2027-04-01,2027-12-31,有效,中国工商银行演示支行,CNY,100000.00,WF-FUND-2026-001,LG-2026-001
FUND-DEMO-2026-002,CP-DEMO-001,FIN_FUND_PAYMENT_PAY,2026-04,2026-04,SHANGHAI,SHANGHAI,资金文档-付款申请-演示-002,2026-04-02 10:00:00,admin,,ELECTRONIC,PORTAL,INTERNAL,批量导入演示第2行,DO-DEMO-SH,是,,UNARCHIVED,7,,,,,REF-2026-002,2026-04-02,2027-04-02,2027-12-31,有效,中国工商银行演示支行,CNY,110250.50,WF-FUND-2026-002,LG-2026-002
FUND-DEMO-2026-003,CP-DEMO-001,FIN_FUND_PAYMENT_PAY,2026-04,2026-04,SHANGHAI,SHANGHAI,资金文档-付款申请-演示-003,2026-04-03 10:00:00,admin,,ELECTRONIC,PORTAL,INTERNAL,批量导入演示第3行,DO-DEMO-SH,是,,UNARCHIVED,7,,,,,REF-2026-003,2026-04-03,2027-04-03,2028-01-15,有效,中国建设银行演示支行,CNY,250000.00,WF-FUND-2026-003,LG-2026-003
FUND-DEMO-2026-004,CP-DEMO-001,FIN_FUND_PAYMENT_PAY,2026-04,2026-04,SHANGHAI,SHANGHAI,资金文档-付款申请-演示-004,2026-04-04 10:00:00,admin,,ELECTRONIC,PORTAL,INTERNAL,批量导入演示第4行,DO-DEMO-SH,是,,UNARCHIVED,7,,,,,REF-2026-004,2026-04-04,2027-04-04,2028-01-15,有效,中国建设银行演示支行,CNY,87500.25,WF-FUND-2026-004,LG-2026-004
FUND-DEMO-2026-005,CP-DEMO-001,FIN_FUND_PAYMENT_PAY,2026-04,2026-04,SHANGHAI,SHANGHAI,资金文档-付款申请-演示-005,2026-04-05 10:00:00,admin,,ELECTRONIC,PORTAL,INTERNAL,批量导入演示第5行,DO-DEMO-SH,是,,UNARCHIVED,7,,,,,REF-2026-005,2026-04-05,2027-04-05,2028-03-01,在途,中国银行演示支行,CNY,500000.00,WF-FUND-2026-005,LG-2026-005
FUND-DEMO-2026-006,CP-DEMO-001,FIN_FUND_PAYMENT_PAY,2026-04,2026-04,SHANGHAI,SHANGHAI,资金文档-付款申请-演示-006,2026-04-06 10:00:00,admin,,ELECTRONIC,PORTAL,INTERNAL,批量导入演示第6行,DO-DEMO-SH,是,,UNARCHIVED,7,,,,,REF-2026-006,2026-04-06,2027-04-06,2028-03-01,在途,中国银行演示支行,CNY,333333.33,WF-FUND-2026-006,LG-2026-006
FUND-DEMO-2026-007,CP-DEMO-001,FIN_FUND_PAYMENT_PAY,2026-04,2026-04,SHANGHAI,SHANGHAI,资金文档-付款申请-演示-007,2026-04-07 10:00:00,admin,,ELECTRONIC,PORTAL,INTERNAL,批量导入演示第7行,DO-DEMO-SH,是,,UNARCHIVED,7,,,,,REF-2026-007,2026-04-07,2027-04-07,2028-06-30,已结案,招商银行演示支行,CNY,1200000.00,WF-FUND-2026-007,LG-2026-007
FUND-DEMO-2026-008,CP-DEMO-001,FIN_FUND_PAYMENT_PAY,2026-04,2026-04,SHANGHAI,SHANGHAI,资金文档-付款申请-演示-008,2026-04-08 10:00:00,admin,,ELECTRONIC,PORTAL,INTERNAL,批量导入演示第8行,DO-DEMO-SH,是,,UNARCHIVED,7,,,,,REF-2026-008,2026-04-08,2027-04-08,2028-06-30,已结案,招商银行演示支行,CNY,456789.12,WF-FUND-2026-008,LG-2026-008
FUND-DEMO-2026-009,CP-DEMO-001,FIN_FUND_PAYMENT_PAY,2026-04,2026-04,SHANGHAI,SHANGHAI,资金文档-付款申请-演示-009,2026-04-09 10:00:00,admin,,ELECTRONIC,PORTAL,INTERNAL,批量导入演示第9行,DO-DEMO-SH,是,,UNARCHIVED,7,,,,,REF-2026-009,2026-04-09,2027-04-09,2029-01-01,有效,上海浦东发展银行演示支行,CNY,99999.99,WF-FUND-2026-009,LG-2026-009
FUND-DEMO-2026-010,CP-DEMO-001,FIN_FUND_PAYMENT_PAY,2026-04,2026-04,SHANGHAI,SHANGHAI,资金文档-付款申请-演示-010,2026-04-10 10:00:00,admin,,ELECTRONIC,PORTAL,INTERNAL,批量导入演示第10行,DO-DEMO-SH,是,,UNARCHIVED,7,,,,,REF-2026-010,2026-04-10,2027-04-10,2029-01-01,有效,上海浦东发展银行演示支行,CNY,188888.88,WF-FUND-2026-010,LG-2026-010
