文档业务编码,公司,业务模块,开始档期,结束档期,归档地,产生地,文档名称,文档生成日期,归档责任人,文档责任部门,载体类型,系统来源,密级,描述,文档组织,是否可见,条码模块,保管状态,保管年限,国家,代表处,地区部,公司标签,其他相关编号,发票号,会计,扫描员,业务册号
ACC-DEMO-2026-001,CP-DEMO-001,FIN_ACC_VCH_GL,2026-04,2026-04,SHANGHAI,SHANGHAI,会计文档-总账凭证-演示-001,2026-04-01 09:30:00,admin,,电子件,PORTAL,内部,会计批量创建测试-成功1,DO-DEMO-SH,是,,未归档,10,,,,,ACC-REF-2026-001,INV-ACC-001,EMP001,EMP_SCAN_001,VOL-001
ACC-DEMO-2026-002,CP-DEMO-001,FIN_ACC_VCH_GL,2026-04,2026-04,SHANGHAI,SHANGHAI,会计文档-总账凭证-演示-002,2026-04-02 09:30:00,admin,,电子件,PORTAL,内部,会计批量创建测试-成功2,DO-DEMO-SH,是,,未归档,10,,,,,ACC-REF-2026-002,INV-ACC-002,EMP002,EMP_SCAN_002,VOL-002
ACC-DEMO-2026-003,CP-DEMO-001,FIN_ACC_BOOK_GL,2026-04,2026-04,SHANGHAI,SHANGHAI,会计文档-总账-演示-003,2026-04-03 09:30:00,admin,,电子件,PORTAL,内部,会计批量创建测试-成功3,DO-DEMO-SH,是,,未归档,10,,,,,ACC-REF-2026-003,INV-ACC-003,EMP003,EMP_SCAN_003,VOL-003
ACC-DEMO-2026-004,CP-DEMO-001,FIN_ACC_RPT_BS,2026-04,2026-04,SHANGHAI,SHANGHAI,会计文档-资产负债表-演示-004,2026-04-04 09:30:00,admin,,电子件,PORTAL,内部,会计批量创建测试-成功4,DO-DEMO-SH,是,,未归档,10,,,,,ACC-REF-2026-004,INV-ACC-004,EMP004,EMP_SCAN_004,VOL-004
ACC-DEMO-2026-005,CP-DEMO-001,FIN_ACC_CLOSE_RECON,2026-04,2026-04,SHANGHAI,SHANGHAI,会计文档-对账单-演示-005,2026-04-05 09:30:00,admin,,电子件,PORTAL,内部,会计批量创建测试-成功5,DO-DEMO-SH,是,,未归档,10,,,,,ACC-REF-2026-005,INV-ACC-005,EMP005,EMP_SCAN_005,VOL-005
ACC-DEMO-2026-001,CP-DEMO-001,FIN_ACC_VCH_GL,2026-04,2026-04,SHANGHAI,SHANGHAI,会计文档-重复业务编码-应失败,2026-04-06 09:30:00,admin,,电子件,PORTAL,内部,失败样例：同公司+业务模块+开始档期+业务编码重复,DO-DEMO-SH,是,,未归档,10,,,,,ACC-REF-2026-006,INV-ACC-006,EMP006,EMP_SCAN_006,VOL-006
ACC-DEMO-2026-007,CP-NOT-EXIST,FIN_ACC_VCH_GL,2026-04,2026-04,SHANGHAI,SHANGHAI,会计文档-公司不存在-应失败,2026-04-07 09:30:00,admin,,电子件,PORTAL,内部,失败样例：公司编码不存在,DO-DEMO-SH,是,,未归档,10,,,,,ACC-REF-2026-007,INV-ACC-007,EMP007,EMP_SCAN_007,VOL-007
ACC-DEMO-2026-008,CP-DEMO-001,FIN_ACC_NOT_EXIST,2026-04,2026-04,SHANGHAI,SHANGHAI,会计文档-业务模块不存在-应失败,2026-04-08 09:30:00,admin,,电子件,PORTAL,内部,失败样例：业务模块不存在,DO-DEMO-SH,是,,未归档,10,,,,,ACC-REF-2026-008,INV-ACC-008,EMP008,EMP_SCAN_008,VOL-008
ACC-DEMO-2026-009,CP-DEMO-001,FIN_ACC_VCH_GL,2026/04,2026-04,SHANGHAI,SHANGHAI,会计文档-开始档期格式错误-应失败,2026-04-09 09:30:00,admin,,电子件,PORTAL,内部,失败样例：开始档期格式非法,DO-DEMO-SH,是,,未归档,10,,,,,ACC-REF-2026-009,INV-ACC-009,EMP009,EMP_SCAN_009,VOL-009
ACC-DEMO-2026-010,CP-DEMO-001,FIN_ACC_VCH_GL,2026-04,2026-04,SHANGHAI,SHANGHAI,会计文档-密级非法-应失败,2026-04-10 09:30:00,admin,,电子件,PORTAL,内部X,失败样例：密级值非法,DO-DEMO-SH,是,,未归档,10,,,,,ACC-REF-2026-010,INV-ACC-010,EMP010,EMP_SCAN_010,VOL-010
